Scenario - 
Logfile written - 02/02/2016 17:28:12

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

TEF-02	1	Picture	Experiment uvod	166	0	1	213176	2	0	next	other	0
TEF-02	1	Response	0	213252	213086	1
TEF-02	2	Picture	Experiment info	213342	0	1	99415	2	0	next	other	0
TEF-02	2	Response	0	312690	99348	2
TEF-02	3	Picture	Baseline open PRE	312757	0	1	600162	2	0	600000	other	0
TEF-02	4	Picture	Baseline close PRE	913086	0	1	600161	2	0	600000	other	0
TEF-02	5	Sound	Ding	1513248	0	2			0		other	0
TEF-02	6	Picture	Experiment start	1519419	0	1	50041	2	0	next	other	0
TEF-02	7	Picture	+	1569460	0	1	23853	2	0	23820	other	0
TEF-02	8	Picture	N_Faces_018_h	1594814	0	2	30025	3	0	30000	other	0
TEF-02	9	Picture	+	1625006	0	1	26689	2	0	26530	other	0
TEF-02	10	Picture	N_People_098_h	1653029	0	1	30025	2	0	30000	other	0
TEF-02	11	Picture	+	1683221	0	1	37364	2	0	37340	other	0
TEF-02	12	Picture	P_Animals_180_h	1721913	0	12	30031	13	0	30000	other	0
TEF-02	13	Picture	+	1752111	0	1	48540	2	0	48440	other	0
TEF-02	14	Picture	N_Animals_013_h	1801985	0	2	30025	3	0	30000	other	0
TEF-02	15	Picture	+	1832177	0	1	23686	2	0	23660	other	0
TEF-02	16	Picture	P_Faces_105_h	1857197	0	2	30025	3	0	30000	other	0
TEF-02	17	Picture	+	1887388	0	2	46039	3	0	45890	other	0
TEF-02	18	Picture	N_People_237_h	1934738	0	191	30048	192	0	30000	other	0
TEF-02	19	Picture	+	1964953	0	1	32360	2	0	32330	other	0
TEF-02	20	Picture	N_People_233_h	1998647	0	2	30025	3	0	30000	other	0
TEF-02	21	Picture	+	2028839	0	1	50041	3	0	49900	other	0
TEF-02	22	Picture	N_Faces_034_h	2080215	0	1	30024	3	0	30000	other	0
TEF-02	23	Picture	+	2110406	0	2	34195	3	0	34150	other	0
TEF-02	24	Picture	N_Faces_368_h	2146603	0	1	30025	2	0	30000	other	0
TEF-02	25	Picture	+	2176794	0	2	33194	4	0	33050	other	0
TEF-02	26	Picture	P_Faces_095_h	2211323	0	1	30025	2	0	30000	other	0
TEF-02	27	Picture	+	2241514	0	2	34362	3	0	34260	other	0
TEF-02	28	Picture	N_People_230_h	2277015	0	191	30053	193	0	30000	other	0
TEF-02	29	Picture	+	2307235	0	2	44203	4	0	44170	other	0
TEF-02	30	Picture	P_Faces_260_h	2352773	0	1	30025	2	0	30000	other	0
TEF-02	31	Picture	+	2382964	0	2	43203	3	0	43070	other	0
TEF-02	32	Picture	N_People_022_h	2427501	0	1	30025	2	0	30000	other	0
TEF-02	33	Picture	+	2457693	0	1	20850	2	0	20710	other	0
TEF-02	34	Picture	N_Animals_054_h	2479878	0	1	30024	3	0	30000	other	0
TEF-02	35	Picture	+	2510069	0	1	42869	2	0	42850	other	0
TEF-02	36	Picture	N_People_241_h	2554272	0	2	30025	3	0	30000	other	0
TEF-02	37	Picture	+	2584464	0	1	20517	2	0	20490	other	0
TEF-02	38	Picture	P_Objects_322_h	2606315	0	2	30025	3	0	30000	other	0
TEF-02	39	Picture	+	2636507	0	1	42702	2	0	42610	other	0
TEF-02	40	Picture	N_Faces_176_h	2680543	0	1	30025	2	0	30000	other	0
TEF-02	41	Picture	+	2710735	0	1	39365	3	0	39320	other	0
TEF-02	42	Picture	P_Faces_314_h	2751435	0	1	30025	2	0	30000	other	0
TEF-02	43	Picture	+	2781626	0	2	25688	4	0	25610	other	0
TEF-02	44	Picture	N_Faces_172_h	2808649	0	1	30025	2	0	30000	other	0
TEF-02	45	Picture	+	2838840	0	2	43203	3	0	43050	other	0
TEF-02	46	Picture	N_People_124_h	2883377	0	1	30025	2	0	30000	other	0
TEF-02	47	Picture	+	2913569	0	1	26688	2	0	26530	other	0
TEF-02	48	Picture	P_Faces_353_h	2941592	0	1	30024	3	0	30000	other	0
TEF-02	49	Picture	+	2971783	0	2	36364	3	0	36240	other	0
TEF-02	50	Picture	N_Animals_071_h	3009481	0	1	30025	2	0	30000	other	0
TEF-02	51	Picture	+	3039673	0	1	38698	2	0	38660	other	0
TEF-02	52	Picture	N_People_140_h	3079706	0	1	30024	3	0	30000	other	0
TEF-02	53	Picture	+	3109897	0	1	29691	3	0	29590	other	0
TEF-02	54	Picture	N_Animals_038_h	3140923	0	1	30024	3	0	30000	other	0
TEF-02	55	Picture	+	3171114	0	2	26856	3	0	26800	other	0
TEF-02	56	Picture	P_Animals_130_h	3199304	0	2	30025	3	0	30000	other	0
TEF-02	57	Picture	+	3229496	0	1	33527	3	0	33480	other	0
TEF-02	58	Picture	P_Objects_078_h	3264358	0	1	30025	2	0	30000	other	0
TEF-02	59	Picture	+	3294549	0	2	44037	3	0	43960	other	0
TEF-02	60	Picture	P_People_051_h	3339920	0	2	30025	3	0	30000	other	0
TEF-02	61	Picture	+	3370112	0	1	27689	2	0	27610	other	0
TEF-02	62	Picture	N_People_200_h	3399136	0	1	30024	3	0	30000	other	0
TEF-02	63	Picture	+	3429327	0	2	32027	3	0	31910	other	0
TEF-02	64	Picture	N_People_145_h	3463333	0	190	30047	191	0	30000	other	0
TEF-02	65	Picture	+	3493547	0	1	38865	2	0	38850	other	0
TEF-02	66	Picture	N_Faces_013_h	3533747	0	1	30024	3	0	30000	other	0
TEF-02	67	Picture	+	3563938	0	1	44537	2	0	44430	other	0
TEF-02	68	Picture	P_People_160_h	3609809	0	2	30025	3	0	30000	other	0
TEF-02	69	Picture	+	3640001	0	1	25354	2	0	25180	other	0
TEF-02	70	Picture	P_Faces_117_h	3666690	0	1	30024	3	0	30000	other	0
TEF-02	71	Picture	+	3696881	0	2	29691	4	0	29660	other	0
TEF-02	72	Picture	P_Animals_179_h	3727907	0	1	30025	2	0	30000	other	0
TEF-02	73	Picture	+	3758098	0	2	31526	4	0	31500	other	0
TEF-02	74	Picture	P_Faces_096_h	3790959	0	1	30025	2	0	30000	other	0
TEF-02	75	Picture	+	3821150	0	2	22686	3	0	22570	other	0
TEF-02	76	Picture	N_Animals_032_h	3845170	0	1	30025	2	0	30000	other	0
TEF-02	77	Picture	+	3875362	0	1	37364	2	0	37240	other	0
TEF-02	78	Picture	P_Animals_117_h	3914060	0	2	30025	3	0	30000	other	0
TEF-02	79	Picture	+	3944252	0	1	30191	3	0	30100	other	0
TEF-02	80	Picture	N_People_128_h	3975589	0	190	30047	191	0	30000	other	0
TEF-02	81	Picture	+	4005803	0	1	37531	2	0	37360	other	0
TEF-02	82	Picture	P_Objects_048_h	4044668	0	1	30025	2	0	30000	other	0
TEF-02	83	Picture	+	4074860	0	1	49707	2	0	49560	other	0
TEF-02	84	Picture	P_Animals_175_h	4125735	0	1	30025	2	0	30000	other	0
TEF-02	85	Picture	+	4155926	0	2	30025	3	0	29920	other	0
TEF-02	86	Picture	N_Animals_075_h	4187110	0	24	30033	26	0	30000	other	0
TEF-02	87	Picture	+	4217310	0	2	35029	3	0	34910	other	0
TEF-02	88	Picture	N_Landscapes_002_h	4253674	0	1	30024	3	0	30000	other	0
TEF-02	89	Picture	+	4283865	0	2	27023	3	0	27010	other	0
TEF-02	90	Picture	N_People_023_h	4312222	0	1	30025	2	0	30000	other	0
TEF-02	91	Picture	+	4342414	0	1	29023	3	0	28940	other	0
TEF-02	92	Picture	P_Landscapes_095_h	4372772	0	1	30025	2	0	30000	other	0
TEF-02	93	Picture	+	4402963	0	2	24521	3	0	24500	other	0
TEF-02	94	Picture	P_Animals_096_h	4428818	0	1	30025	2	0	30000	other	0
TEF-02	95	Picture	+	4459010	0	1	25354	2	0	25290	other	0
TEF-02	96	Picture	N_People_226_h	4485525	0	14	30031	16	0	30000	other	0
TEF-02	97	Picture	+	4515723	0	1	28524	2	0	28420	other	0
TEF-02	98	Picture	N_Animals_067_h	4545581	0	1	30025	2	0	30000	other	0
TEF-02	99	Picture	+	4575773	0	1	29524	2	0	29440	other	0
TEF-02	100	Picture	P_Faces_247_h	4606631	0	2	30025	3	0	30000	other	0
TEF-02	101	Picture	+	4636823	0	1	48540	2	0	48490	other	0
TEF-02	102	Picture	N_Faces_285_h	4686697	0	2	30025	3	0	30000	other	0
TEF-02	103	Picture	+	4716889	0	1	39366	2	0	39340	other	0
TEF-02	104	Picture	P_Faces_050_h	4757589	0	2	30025	3	0	30000	other	0
TEF-02	105	Picture	+	4787781	0	1	40700	2	0	40540	other	0
TEF-02	106	Picture	N_Landscapes_005_h	4829815	0	2	30025	3	0	30000	other	0
TEF-02	107	Picture	+	4860007	0	1	35029	2	0	34990	other	0
TEF-02	108	Picture	P_People_175_h	4896370	0	2	30025	3	0	30000	other	0
TEF-02	109	Picture	+	4926562	0	1	28190	2	0	28100	other	0
TEF-02	110	Picture	N_People_202_h	4955899	0	188	30045	189	0	30000	other	0
TEF-02	111	Picture	+	4986111	0	1	23519	3	0	23490	other	0
TEF-02	112	Picture	P_Objects_041_h	5010965	0	1	30025	2	0	30000	other	0
TEF-02	113	Picture	+	5041156	0	2	33361	3	0	33250	other	0
TEF-02	114	Picture	N_Animals_221_h	5075852	0	1	30024	3	0	30000	other	0
TEF-02	115	Picture	+	5106043	0	1	27523	2	0	27350	other	0
TEF-02	116	Picture	N_Animals_050_h	5134900	0	2	30025	3	0	30000	other	0
TEF-02	117	Picture	+	5165092	0	1	36864	2	0	36760	other	0
TEF-02	118	Picture	N_Objects_150_h	5203290	0	1	30025	2	0	30000	other	0
TEF-02	119	Picture	+	5233482	0	1	45704	2	0	45550	other	0
TEF-02	120	Picture	P_Objects_097_h	5280520	0	2	30025	3	0	30000	other	0
TEF-02	121	Picture	+	5310712	0	1	26355	2	0	26230	other	0
TEF-02	122	Picture	N_Animals_018_h	5338401	0	2	30025	3	0	30000	other	0
TEF-02	123	Picture	+	5368593	0	1	44870	3	0	44780	other	0
TEF-02	124	Picture	P_Faces_348_h	5414798	0	1	30025	2	0	30000	other	0
TEF-02	125	Picture	+	5444989	0	2	24521	3	0	24470	other	0
TEF-02	126	Picture	P_Faces_135_h	5470844	0	1	30025	2	0	30000	other	0
TEF-02	127	Picture	+	5501036	0	1	28690	2	0	28660	other	0
TEF-02	128	Picture	P_People_182_h	5531060	0	2	30025	3	0	30000	other	0
TEF-02	129	Picture	+	5561252	0	1	46538	2	0	46400	other	0
TEF-02	130	Picture	P_Faces_321_h	5609118	0	12	30031	14	0	30000	other	0
TEF-02	131	Picture	+	5639316	0	2	29191	3	0	29180	other	0
TEF-02	132	Picture	N_People_008_h	5669841	0	2	30025	3	0	30000	other	0
TEF-02	133	Picture	+	5700033	0	1	45871	2	0	45760	other	0
TEF-02	134	Picture	N_Objects_139_h	5747239	0	1	30024	2	0	30000	other	0
TEF-02	135	Picture	+	5777430	0	1	28023	2	0	27990	other	0
TEF-02	136	Picture	P_People_183_h	5806788	0	1	30024	3	0	30000	other	0
TEF-02	137	Picture	+	5836979	0	2	48540	3	0	48480	other	0
TEF-02	138	Picture	P_People_189_h	5886854	0	1	30024	3	0	30000	other	0
TEF-02	139	Picture	+	5917045	0	2	35196	3	0	35100	other	0
TEF-02	140	Picture	P_Faces_352_h	5953575	0	2	30025	3	0	30000	other	0
TEF-02	141	Picture	+	5983767	0	1	48040	2	0	47940	other	0
TEF-02	142	Picture	N_People_003_h	6032954	0	188	30045	189	0	30000	other	0
TEF-02	143	Picture	+	6063166	0	1	41200	3	0	41120	other	0
TEF-02	144	Picture	P_Faces_113_h	6105701	0	1	30025	2	0	30000	other	0
TEF-02	145	Picture	+	6135892	0	2	21018	3	0	21000	other	0
TEF-02	146	Picture	P_Objects_082_h	6158244	0	1	30025	2	0	30000	other	0
TEF-02	147	Picture	+	6188436	0	1	20517	2	0	20380	other	0
TEF-02	148	Picture	P_Animals_203_h	6210096	0	191	30049	192	0	30000	other	0
TEF-02	149	Picture	+	6240312	0	1	27356	2	0	27290	other	0
TEF-02	150	Picture	N_Objects_125_h	6269002	0	2	30025	3	0	30000	other	0
TEF-02	151	Picture	+	6299194	0	1	46538	2	0	46460	other	0
TEF-02	152	Picture	N_Objects_158_h	6347067	0	1	30024	3	0	30000	other	0
TEF-02	153	Picture	+	6377258	0	1	20350	2	0	20330	other	0
TEF-02	154	Picture	P_Objects_081_h	6398943	0	1	30024	3	0	30000	other	0
TEF-02	155	Picture	+	6429134	0	2	36030	3	0	35880	other	0
TEF-02	156	Picture	N_Faces_298_h	6466498	0	2	30025	3	0	30000	other	0
TEF-02	157	Picture	+	6496690	0	1	39366	2	0	39210	other	0
TEF-02	158	Picture	N_Objects_285_h	6537390	0	1	30025	2	0	30000	other	0
TEF-02	159	Picture	+	6567582	0	1	38698	3	0	38680	other	0
TEF-02	160	Picture	P_Faces_234_h	6607615	0	1	30025	2	0	30000	other	0
TEF-02	161	Picture	+	6637806	0	2	47873	3	0	47850	other	0
TEF-02	162	Picture	P_People_178_h	6687014	0	1	30024	2	0	30000	other	0
TEF-02	163	Picture	+	6717205	0	1	45871	2	0	45790	other	0
TEF-02	164	Picture	P_Faces_240_h	6764411	0	1	30024	3	0	30000	other	0
TEF-02	165	Picture	+	6794602	0	2	20184	3	0	20040	other	0
TEF-02	166	Picture	P_Objects_291_h	6816120	0	1	30025	2	0	30000	other	0
TEF-02	167	Picture	+	6846312	0	1	27689	2	0	27550	other	0
TEF-02	168	Picture	N_Objects_039_h	6875336	0	1	30024	2	0	30000	other	0
TEF-02	169	Picture	+	6905527	0	1	39366	2	0	39330	other	0
TEF-02	170	Picture	N_Objects_013_h	6946227	0	2	30025	3	0	30000	other	0
TEF-02	171	Picture	+	6976419	0	1	41201	2	0	41050	other	0
TEF-02	172	Picture	P_Animals_172_h	7019121	0	1	30024	3	0	30000	other	0
TEF-02	173	Picture	+	7049312	0	2	41368	3	0	41270	other	0
TEF-02	174	Picture	P_Faces_359_h	7091847	0	2	30025	3	0	30000	other	0
